sno,year,name,Rating,hour
1,2003,Dinosaur Planet,4.9,3
2,2004,Isle of Man TT 2004 Review,1.2,3
3,1997,Character,4.5,3
4,1994,Paula Abdul's Get Up & Dance,3.7,3
5,2004,The Rise and Fall of ECW,3.4,1
6,1997,Sick,4.9,3
7,1992,8 Man,3.6,3
8,2004,What the #$*! Do We Know!?,3.3,2
9,1991,Class of Nuke 'Em High 2,4.9,1
10,2001,Fighter,4.7,1
11,1999,Full Frame: Documentary Shorts,3.7,2
12,1947,My Favorite Brunette,4.3,1
13,2003,Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,4.9,2
14,1982,Nature: Antarctica,1.7,1
15,1988,Neil Diamond: Greatest Hits Live,3.4,2
16,1996,Screamers,1.3,3
17,2005,7 Seconds,3,1
18,1994,Immortal Beloved,4.9,1
19,2000,By Dawn's Early Light,2.7,3
20,1972,Seeta Aur Geeta,2.2,3
21,2002,Strange Relations,3.9,2
22,2000,Chump Change,2.3,2
23,2001,Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,4.6,1
24,1981,My Bloody Valentine,1.1,1
25,1997,Inspector Morse 31: Death Is Now My Neighbour,4.1,2
26,2004,Never Die Alone,4,2
27,1962,Sesame Street: Elmo's World: The Street We Live On,3.2,2
28,2002,Lilo and Stitch,1.3,1
29,2001,Boycott,1.1,1
30,2003,Something's Gotta Give,4.8,3
31,1999,Classic Albums: Meat Loaf: Bat Out of Hell,2.8,3
32,2004,ABC Primetime: Mel Gibson's The Passion of the Christ,3.7,1
33,2000,Aqua Teen Hunger Force: Vol. 1,2.1,3
34,2003,Ashtanga Yoga: Beginner's Practice with Nicki Doane,2.6,3
35,2000,Ferngully 2: The Magical Rescue,4.3,3
36,1992,Lady Chatterley,1,1
37,1973,Zatoichi's Conspiracy,2,2
38,2003,Daydream Obsession,4.3,3
39,2000,Love Reinvented,4.7,1
40,2004,Pitcher and the Pin-Up,2.6,3
41,2000,Horror Vision,4,2
42,2002,Searching for Paradise,4.4,3
43,2000,Silent Service,4.5,1
44,1996,Spitfire Grill,1,3
45,1999,The Love Letter,2.8,3
46,1964,Rudolph the Red-Nosed Reindeer,3.3,3
47,1952,The Bad and the Beautiful,3.9,1
48,2001,Justice League,4.6,2
49,2003,Devo: The Complete Truth About De-evolution,4.4,2
50,1941,A Yank in the R.A.F.,2.2,3
51,2002,Jonah: A VeggieTales Movie: Bonus Material,3.4,1
52,2002,The Weather Underground,1.8,2
53,2003,The Bonesetter,2.1,1
54,1952,We're Not Married,4.8,1
55,1995,Jade,1.2,2
56,2004,Carandiru,1.2,1
57,1995,Richard III,3.1,1
58,1996,Dragonheart,3.9,3
59,2003,Sex and the Beauties,2.3,3
60,1969,The Libertine,2.2,2
61,1999,Ricky Martin: One Night Only,4,1
62,1991,Ken Burns' America: Empire of the Air,3.7,1
63,1943,Crash Dive,5,3
64,2001,Outside the Law,2.2,3
65,2000,Lost in the Pershing Point Hotel,3.1,2
66,1989,Barbarian Queen 2,4.1,1
67,1997,Vampire Journals,2.6,3
68,2004,Invader Zim,3.8,2
69,2003,WWE: Armageddon 2003,3.2,2
70,1999,Tai Chi: The 24 Forms,2.7,3
71,1995,Maya Lin: A Strong Clear Vision,5,1
73,1954,Davy Crockett: 50th Anniversary Double Feature,2.8,2
